Date,Unix,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Change
2021-11-02,1635811200000,BTCUSDT,60911.12,64270.0,60624.68,63219.99,46368.2841,2909221038.40065,1858362,0.34299937566026717
2021-11-03,1635897600000,BTCUSDT,63220.57,63500.0,60382.76,62896.48,43336.09049,2713389500.4663587,1601925,0.35913427161344313
2021-11-04,1635984000000,BTCUSDT,62896.49,63086.31,60677.01,61395.01,35930.93314,2218138026.7045407,1346081,0.3315932289704495
2021-11-05,1636070400000,BTCUSDT,61395.01,62595.72,60721.0,60937.12,31604.48749,1943346371.470386,1243074,0.35008815645988123
2021-11-06,1636156800000,BTCUSDT,60940.18,61560.49,60050.0,61470.61,25590.57408,1556774943.5537283,965309,0.2396509732484482
2021-11-07,1636243200000,BTCUSDT,61470.62,63286.35,61322.78,63273.59,25515.6883,1585744720.199772,1068629,0.3062085252778399
2021-11-08,1636329600000,BTCUSDT,63273.58,67789.0,63273.58,67525.83,54442.094554,3575716171.0443,2349581,0.3411454800725411
2021-11-09,1636416000000,BTCUSDT,67525.82,68524.25,66222.4,66947.66,44661.378068,3014326962.087268,1847655,0.3839569901986788
2021-11-10,1636502400000,BTCUSDT,66947.67,69000.0,62822.9,64882.43,65171.504046,4335575752.805223,2347934,0.3308749580271133
2021-11-11,1636588800000,BTCUSDT,64882.42,65600.07,64100.0,64774.26,37237.98058,2415537333.57771,1327827,0.3251093445057711
2021-11-12,1636675200000,BTCUSDT,64774.25,65450.7,62278.0,64122.23,44490.10816,2844286547.504041,1479149,0.25799545826855086
2021-11-13,1636761600000,BTCUSDT,64122.22,65000.0,63360.22,64380.0,22504.97383,1442441613.5983922,904149,0.22920842070775138
2021-11-14,1636848000000,BTCUSDT,64380.01,65550.51,63576.27,65519.1,25705.07347,1658473781.2937696,951393,0.19376326649600517
2021-11-15,1636934400000,BTCUSDT,65519.11,66401.82,63400.0,63606.74,37829.37124,2460915922.876128,1305209,0.1388528061600396
2021-11-16,1637020800000,BTCUSDT,63606.73,63617.31,58574.07,60058.87,77455.15609,4705744041.299647,2353681,0.03956352742346092
2021-11-17,1637107200000,BTCUSDT,60058.87,60840.23,58373.0,60344.87,46289.38491,2767802055.200423,1471305,0.054579799418822184
2021-11-18,1637193600000,BTCUSDT,60344.86,60976.0,56474.26,56891.62,62146.99931,3644824179.1448526,1960419,-0.07022198165370908
2021-11-19,1637280000000,BTCUSDT,56891.62,58320.0,55600.0,58052.24,50715.88726,2896189975.910774,1560459,-0.015534954283071722
2021-11-20,1637366400000,BTCUSDT,58057.1,59845.0,57353.0,59707.51,33811.5901,1982718831.1570768,1200190,0.07377565407551812
2021-11-21,1637452800000,BTCUSDT,59707.52,60029.76,58486.65,58622.02,31902.22785,1886578154.5167084,1249219,0.030250392130156456
2021-11-22,1637539200000,BTCUSDT,58617.7,59444.0,55610.0,56247.18,51724.32047,2968622334.137657,1624768,-0.04524962839252544
2021-11-23,1637625600000,BTCUSDT,56243.83,58009.99,55317.0,57541.27,49917.85017,2837210673.4885187,1570845,-0.0018541788671140313
2021-11-24,1637712000000,BTCUSDT,57541.26,57735.0,55837.0,57138.29,39612.04964,2246374244.330568,1432991,-0.01536653190306192
2021-11-25,1637798400000,BTCUSDT,57138.29,59398.9,57000.0,58960.36,42153.51522,2455658857.7005925,1604266,0.014768439379659437
2021-11-26,1637884800000,BTCUSDT,58960.37,59150.0,53500.0,53726.53,65927.87066,3649353860.4295673,2138184,-0.06320717344044346
2021-11-27,1637971200000,BTCUSDT,53723.72,55280.0,53610.0,54721.03,29716.99957,1623173123.4917314,1110145,0.011792560543236519
2021-11-28,1638057600000,BTCUSDT,54716.47,57445.05,53256.64,57274.88,36163.7137,1982198373.5328348,1253408,0.053992306714152116
2021-11-29,1638144000000,BTCUSDT,57274.89,58865.97,56666.67,57776.25,40125.28009,2313371348.113543,1349625,0.10463132114106766
2021-11-30,1638230400000,BTCUSDT,57776.25,59176.99,55875.55,56950.56,49161.05194,2823644073.0219045,1587472,0.11028198740666029
2021-12-01,1638316800000,BTCUSDT,56950.56,59053.55,56458.01,57184.07,44956.63656,2584928714.0757422,1442301,0.03922683973038743
2021-12-02,1638403200000,BTCUSDT,57184.07,57375.47,55777.77,56480.34,37574.05976,2127110102.107309,1307890,0.011881654989847057
2021-12-03,1638489600000,BTCUSDT,56484.26,57600.0,51680.0,53601.05,58927.69027,3246198505.9468517,1865063,-0.03902245398379234
2021-12-04,1638576000000,BTCUSDT,53601.05,53859.1,42000.3,49152.47,114203.373748,5495712061.978532,3362771,-0.1471836700559569
2021-12-05,1638662400000,BTCUSDT,49152.46,49699.05,47727.21,49396.33,45580.82012,2231486105.843912,1371839,-0.15916231364656686
